name,image_id,face_id,url,bbox,sha256
Aaron Eckhart,6,6,http://media.zenfs.com/en_us/Movies/PhotoG/2nd-annual-ampas-governors-awards-2010-aaron-eckhart-53335.jpg,"235,158,540,463",121e8bea5caae215b537dc116534bbd2fa7a9a60c1910764d78794ec185aa527
Aaron Eckhart,7,7,http://img2.timeinc.net/people/i/2008/news/080804/aaron_eckhart.jpg,"60,57,178,175",bb2e227a9420d6325b67974231d334fc4620e807543a16030d51b35fa8a092f3
Adam Brody,355,235,http://cdn04.cdn.justjared.com/wp-content/uploads/2007/04/bowery-hotel/01-adam-brody-conde-nast-hot-list-03.jpg,"254,248,793,787",b22fea2ce2af4e2d53fecb87fc04850869169647bb6c27e36ed76312d402f319
Adam Brody,356,236,http://www.firsthdwallpapers.com/uploads/2013/09/url16.jpg,"435,106,623,294",ebffacdd048f001fbb7a8cc3e95a8a110817b6404ea18309b9ea3294cc5cf6a9
Adam Brody,360,238,http://cdn04.cdn.justjared.com/wp-content/uploads/2007/04/brody-premiere/adam-brody-in-the-land-of-women-premiere-09.jpg,"106,275,643,812",d337b11b4db2dd0a43a810eaf06dd40848789975c3dd5d6e757d4c01154ffe86
Adam Brody,368,241,http://cache2.artprintimages.com/LRG/27/2772/Q8WTD00Z.jpg,"108,110,276,278",0d49c9236c6140d5b8963dec7be2efde2be5941051b4bf72750ef006ce2011a2
Adam McKay,729,436,http://seaberryexperience.files.wordpress.com/2010/06/adam-mckay.jpg,"118,61,350,293",63010c44627655f88e110c71ecf30b248d226d95f81fbf4e1f9001ff8be6c419
Adam McKay,730,437,http://www.aceshowbiz.com/images/wennpic/wenn756543.jpg,"165,125,587,547",1ccfed333be7aa98965dac0e0ee3931f529ac7b1514729f17e81e7b9815abe32
Adam McKay,731,438,http://www.dr.com.tr/pimages/Content/Uploads/ArtistImages/artist_30263.jpg,"70,82,435,447",201e2a8a4f89cbf22b49453b100d0a5d36b9153305867df55cfcc9ef77d6b1d9
Adam McKay,733,440,http://themovieblog.com/wp-content/uploads/2012/04/adam_mckay.jpg,"80,62,235,217",f9ff3af2df1fc56183d753c3f59bcc64287bf19f9a0f01bf58526ece2d41496b
Adam McKay,735,441,http://starsmedia.ign.com/stars/image/object/917/917494/adam-mckay_photoboxart_160w.jpg,"29,29,137,137",1e719f21e65b673ef72d98780691cdcbdf21fc10882a213a322ed254b56b8708
